,Naive_persistence,XGBoost,LSTM,LSTM_uncertainty,P05,P95
2024-12-31 23:00:00+00:00,0.52,81.00372,57.95192,9.509249,42.31872673034668,74.18079833984375
2025-01-01 00:00:00+00:00,0.52,78.85493,54.44449,7.9708724,43.97275085449219,69.18302001953126
2025-01-01 01:00:00+00:00,0.52,80.36622,62.884247,9.05287,50.172044563293454,76.08600234985352
2025-01-01 02:00:00+00:00,0.52,74.16875,62.83031,7.585338,51.91981544494629,76.34883193969725
2025-01-01 03:00:00+00:00,0.52,72.98612,70.65524,9.362444,55.84069557189942,89.68658905029297
2025-01-01 04:00:00+00:00,0.52,81.35072,71.33369,9.96384,55.721111106872556,89.81191177368163
2025-01-01 05:00:00+00:00,0.52,89.437035,72.116615,8.765728,61.920938682556155,85.7044048309326
2025-01-01 06:00:00+00:00,0.52,94.1746,76.18184,9.130619,61.904250907897946,87.87824668884278
2025-01-01 07:00:00+00:00,0.52,101.26288,86.86113,7.1285324,77.45977439880372,100.52566642761231
2025-01-01 08:00:00+00:00,0.52,102.50475,90.89468,10.865495,74.32384414672852,108.07579727172852
2025-01-01 09:00:00+00:00,0.52,93.66033,90.78799,10.537035,69.73741455078125,106.12834663391114
2025-01-01 10:00:00+00:00,0.52,87.16276,88.83371,11.487914,71.16841850280761,108.14741096496581
2025-01-01 11:00:00+00:00,0.52,89.97532,89.29814,9.068658,74.6638126373291,104.59476013183594
2025-01-01 12:00:00+00:00,0.52,88.85652,84.83223,10.16559,72.03583450317383,105.09097061157225
2025-01-01 13:00:00+00:00,0.52,78.857544,85.39973,9.461972,72.84511985778809,102.3174964904785
2025-01-01 14:00:00+00:00,0.52,85.27026,89.6082,8.38761,77.64645881652832,104.09757194519042
2025-01-01 15:00:00+00:00,0.52,118.24644,88.19283,8.320273,77.03503761291503,101.67172508239746
2025-01-01 16:00:00+00:00,0.52,120.022766,88.35318,10.180534,75.09006614685059,105.97442016601562
2025-01-01 17:00:00+00:00,0.52,118.911896,83.64495,8.842812,68.12786865234375,94.11533126831054
2025-01-01 18:00:00+00:00,0.52,115.30963,73.3813,8.1479435,60.81499481201172,88.25686416625976
2025-01-01 19:00:00+00:00,0.52,108.4839,40.881363,8.5773325,26.360486602783205,53.17282485961914
2025-01-01 20:00:00+00:00,0.52,82.59672,20.665909,8.595412,6.236248302459717,35.174069595336896
2025-01-01 21:00:00+00:00,0.52,73.07044,14.295929,9.764958,-0.7847324848175048,31.43784236907959
2025-01-01 22:00:00+00:00,0.52,65.57073,4.6535215,8.232833,-11.08549976348877,16.587562847137445
