"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"01/01/2024 - 30/12/2024","Week 1","BZN|DE-LU","37966.97","N/A","N/A","67361.35"
"01/01/2024 - 30/12/2024","Week 2","BZN|DE-LU","41783.57","45812.19","73588.84","71231.96"
"01/01/2024 - 30/12/2024","Week 3","BZN|DE-LU","43278.87","46901.16","76559.51","72940.47"
"01/01/2024 - 30/12/2024","Week 4","BZN|DE-LU","42742.8","40487.2","73833.57","73036.33"
"01/01/2024 - 30/12/2024","Week 5","BZN|DE-LU","42759.83","43673.84","72867.15","72630.9"
"01/01/2024 - 30/12/2024","Week 6","BZN|DE-LU","42516.45","41164.8","71384.82","71813.71"
"01/01/2024 - 30/12/2024","Week 7","BZN|DE-LU","42457.95","38816.74","69151.95","71092.98"
"01/01/2024 - 30/12/2024","Week 8","BZN|DE-LU","41470.04","41740.15","70263.68","70413.78"
"01/01/2024 - 30/12/2024","Week 9","BZN|DE-LU","41397.83","39384.93","69389.34","69492.05"
"01/01/2024 - 30/12/2024","Week 10","BZN|DE-LU","40954.74","40583.23","71020.83","68850.0"
"01/01/2024 - 30/12/2024","Week 11","BZN|DE-LU","40368.56","40808.98","68472.51","68958.07"
"01/01/2024 - 30/12/2024","Week 12","BZN|DE-LU","40308.59","41007.41","68078.45","68297.83"
"01/01/2024 - 30/12/2024","Week 13","BZN|DE-LU","34261.24","32849.14","66211.93","67548.9"
"01/01/2024 - 30/12/2024","Week 14","BZN|DE-LU","37445.51","34523.94","66775.95","67370.3"
"01/01/2024 - 30/12/2024","Week 15","BZN|DE-LU","38904.33","37976.78","68447.43","68491.94"
"01/01/2024 - 30/12/2024","Week 16","BZN|DE-LU","37723.23","38571.37","67777.08","66947.28"
"01/01/2024 - 30/12/2024","Week 17","BZN|DE-LU","37616.21","35611.77","67079.2","66352.83"
"01/01/2024 - 30/12/2024","Week 18","BZN|DE-LU","35711.48","34697.88","63898.5","65949.42"
"01/01/2024 - 30/12/2024","Week 19","BZN|DE-LU","36647.64","33701.5","64034.7","66190.11"
"01/01/2024 - 30/12/2024","Week 20","BZN|DE-LU","32150.32","33896.31","64020.64","66060.78"
"01/01/2024 - 30/12/2024","Week 21","BZN|DE-LU","34895.93","33118.1","64466.78","65456.4"
"01/01/2024 - 30/12/2024","Week 22","BZN|DE-LU","35805.82","35394.36","63164.67","65501.81"
"01/01/2024 - 30/12/2024","Week 23","BZN|DE-LU","35675.75","34741.98","63639.45","65955.45"
"01/01/2024 - 30/12/2024","Week 24","BZN|DE-LU","35474.09","34934.26","63060.65","65592.79"
"01/01/2024 - 30/12/2024","Week 25","BZN|DE-LU","35475.55","35141.46","64273.37","65863.39"
"01/01/2024 - 30/12/2024","Week 26","BZN|DE-LU","35206.39","36957.67","63335.97","65809.61"
"01/01/2024 - 30/12/2024","Week 27","BZN|DE-LU","34992.97","35223.53","66770.19","65440.34"
"01/01/2024 - 30/12/2024","Week 28","BZN|DE-LU","35321.38","35181.29","64503.61","65873.6"
"01/01/2024 - 30/12/2024","Week 29","BZN|DE-LU","34871.05","34886.75","62102.39","65155.22"
"01/01/2024 - 30/12/2024","Week 30","BZN|DE-LU","35018.33","34434.9","62298.89","64713.34"
