Date,Naive_persistence,Naive_naive_24h,Naive_naive_7d,XGBoost,LSTM,Actual
2024-10-21 03:00:00+00:00,66.91,76.77,62.2,79.249916,94.34895,3.45
2024-10-21 04:00:00+00:00,64.23,80.0,98.74,83.5753,107.48201,66.6
2024-10-21 05:00:00+00:00,75.32,91.91,132.89,106.481964,123.951744,104.98
2024-10-21 06:00:00+00:00,68.28,89.66,153.61,132.4381,130.07372,120.39
2024-10-21 07:00:00+00:00,45.75,84.6,117.94,105.236015,131.12117,103.9
2024-10-21 08:00:00+00:00,6.37,78.8,100.95,86.47613,125.71124,89.04
2024-10-21 09:00:00+00:00,0.08,73.32,95.53,77.34035,113.42912,81.03
2024-10-21 10:00:00+00:00,0.0,66.16,88.36,71.81411,99.77181,73.19
2024-10-21 11:00:00+00:00,-0.98,60.96,82.6,64.45461,81.06489,81.36
2024-10-21 12:00:00+00:00,-2.01,63.89,74.16,69.078705,69.2831,81.65
2024-10-21 13:00:00+00:00,0.0,79.07,87.08,67.98468,61.51124,98.59
2024-10-21 14:00:00+00:00,5.1,98.09,105.79,90.40429,59.020485,123.5
2024-10-21 15:00:00+00:00,57.69,109.14,159.59,110.75377,65.19268,131.54
2024-10-21 16:00:00+00:00,60.7,135.82,257.1,158.03624,80.008255,222.11
2024-10-21 17:00:00+00:00,45.08,118.93,269.74,156.76611,99.78717,190.87
2024-10-21 18:00:00+00:00,34.35,96.8,158.0,139.93729,112.22966,128.44
2024-10-21 19:00:00+00:00,20.95,90.18,114.12,116.33676,116.703995,102.0
2024-10-21 20:00:00+00:00,12.15,83.83,99.66,91.16874,109.36622,97.8
2024-10-21 21:00:00+00:00,1.93,73.33,94.8,92.41007,94.14053,92.97
2024-10-21 22:00:00+00:00,-0.1,55.57,91.23,85.538315,81.33869,91.67
2024-10-21 23:00:00+00:00,-0.1,54.9,86.49,82.59587,69.992035,89.43
2024-10-22 00:00:00+00:00,-0.14,57.23,88.35,78.27368,63.066845,85.69
2024-10-22 01:00:00+00:00,-0.08,59.82,84.04,81.23146,61.002415,83.6
2024-10-22 02:00:00+00:00,-0.04,62.92,80.8,81.23146,64.14254,83.19
2024-10-22 03:00:00+00:00,3.45,66.91,89.51,85.17714,74.74509,89.95
2024-10-22 04:00:00+00:00,66.6,64.23,114.53,101.48267,91.65948,100.58
2024-10-22 05:00:00+00:00,104.98,75.32,185.39,125.9746,106.070206,156.09
2024-10-22 06:00:00+00:00,120.39,68.28,176.61,131.389,103.46083,170.12
2024-10-22 07:00:00+00:00,103.9,45.75,110.54,89.96099,92.31123,113.44
2024-10-22 08:00:00+00:00,89.04,6.37,92.75,70.090034,74.277275,99.22
2024-10-22 09:00:00+00:00,81.03,0.08,83.05,56.412464,57.903316,87.75
2024-10-22 10:00:00+00:00,73.19,0.0,78.47,49.880085,44.325882,77.11
2024-10-22 11:00:00+00:00,81.36,-0.98,71.75,43.469288,31.10474,70.88
2024-10-22 12:00:00+00:00,81.65,-2.01,75.9,39.560722,25.330551,73.53
2024-10-22 13:00:00+00:00,98.59,0.0,83.36,47.791893,26.78129,87.08
2024-10-22 14:00:00+00:00,123.5,5.1,89.03,87.48265,39.878742,107.45
2024-10-22 15:00:00+00:00,131.54,57.69,120.69,121.95679,65.747635,109.97
2024-10-22 16:00:00+00:00,222.11,60.7,136.79,138.05722,99.79558,140.36
2024-10-22 17:00:00+00:00,190.87,45.08,97.31,132.13167,136.51106,157.75
2024-10-22 18:00:00+00:00,128.44,34.35,76.26,132.12656,164.78557,114.02
2024-10-22 19:00:00+00:00,102.0,20.95,66.65,102.86008,178.09206,99.4
2024-10-22 20:00:00+00:00,97.8,12.15,59.65,86.86276,164.06013,95.72
2024-10-22 21:00:00+00:00,92.97,1.93,40.78,85.71006,124.3704,88.35
2024-10-22 22:00:00+00:00,91.67,-0.1,23.35,81.32367,89.84271,80.83
2024-10-22 23:00:00+00:00,89.43,-0.1,12.8,77.483116,71.942154,83.23
