Date,Naive_persistence,Naive_naive_24h,Naive_naive_7d,XGBoost,LSTM,Actual
2024-10-21 03:00:00+00:00,66.91,76.77,62.2,85.559204,74.1776123046875,3.45
2024-10-21 04:00:00+00:00,64.23,80.0,98.74,92.20354,75.19001770019531,66.6
2024-10-21 05:00:00+00:00,75.32,91.91,132.89,113.113914,76.12407684326172,104.98
2024-10-21 06:00:00+00:00,68.28,89.66,153.61,137.00136,76.9969711303711,120.39
2024-10-21 07:00:00+00:00,45.75,84.6,117.94,112.9144,77.75970458984375,103.9
2024-10-21 08:00:00+00:00,6.37,78.8,100.95,90.58501,78.44952392578125,89.04
2024-10-21 09:00:00+00:00,0.08,73.32,95.53,84.93339,79.01512908935547,81.03
2024-10-21 10:00:00+00:00,0.0,66.16,88.36,80.22148,79.35453796386719,73.19
2024-10-21 11:00:00+00:00,-0.98,60.96,82.6,68.04688,79.48401641845703,81.36
2024-10-21 12:00:00+00:00,-2.01,63.89,74.16,77.66446,79.46546936035156,81.65
2024-10-21 13:00:00+00:00,0.0,79.07,87.08,75.54548,79.49430847167969,98.59
2024-10-21 14:00:00+00:00,5.1,98.09,105.79,97.64435,79.50709533691406,123.5
2024-10-21 15:00:00+00:00,57.69,109.14,159.59,123.009766,79.51250457763672,131.54
2024-10-21 16:00:00+00:00,60.7,135.82,257.1,177.00226,79.49735260009766,222.11
2024-10-21 17:00:00+00:00,45.08,118.93,269.74,171.53343,79.46858978271484,190.87
2024-10-21 18:00:00+00:00,34.35,96.8,158.0,144.6905,79.3996810913086,128.44
2024-10-21 19:00:00+00:00,20.95,90.18,114.12,121.34834,79.26512145996094,102.0
2024-10-21 20:00:00+00:00,12.15,83.83,99.66,89.130554,79.07832336425781,97.8
2024-10-21 21:00:00+00:00,1.93,73.33,94.8,91.20429,78.86763763427734,92.97
2024-10-21 22:00:00+00:00,-0.1,55.57,91.23,81.448074,78.64513397216797,91.67
2024-10-21 23:00:00+00:00,-0.1,54.9,86.49,81.6924,78.49053955078125,89.43
2024-10-22 00:00:00+00:00,-0.14,57.23,88.35,81.5101,78.44853210449219,85.69
2024-10-22 01:00:00+00:00,-0.08,59.82,84.04,81.999565,78.2113265991211,83.6
2024-10-22 02:00:00+00:00,-0.04,62.92,80.8,81.14203,78.06742858886719,83.19
2024-10-22 03:00:00+00:00,3.45,66.91,89.51,85.15475,77.9973373413086,89.95
2024-10-22 04:00:00+00:00,66.6,64.23,114.53,101.74886,77.98060607910156,100.58
2024-10-22 05:00:00+00:00,104.98,75.32,185.39,127.3705,78.04066467285156,156.09
2024-10-22 06:00:00+00:00,120.39,68.28,176.61,150.29904,78.15389251708984,170.12
2024-10-22 07:00:00+00:00,103.9,45.75,110.54,90.42692,78.40728759765625,113.44
2024-10-22 08:00:00+00:00,89.04,6.37,92.75,73.68984,78.71759796142578,99.22
2024-10-22 09:00:00+00:00,81.03,0.08,83.05,60.469616,79.04386901855469,87.75
2024-10-22 10:00:00+00:00,73.19,0.0,78.47,56.332535,79.3112564086914,77.11
2024-10-22 11:00:00+00:00,81.36,-0.98,71.75,48.302055,79.59542846679688,70.88
2024-10-22 12:00:00+00:00,81.65,-2.01,75.9,46.363853,79.82779693603516,73.53
2024-10-22 13:00:00+00:00,98.59,0.0,83.36,57.04226,80.03623962402344,87.08
2024-10-22 14:00:00+00:00,123.5,5.1,89.03,84.28145,80.22624969482422,107.45
2024-10-22 15:00:00+00:00,131.54,57.69,120.69,113.26767,80.4142074584961,109.97
2024-10-22 16:00:00+00:00,222.11,60.7,136.79,126.76942,80.59966278076172,140.36
2024-10-22 17:00:00+00:00,190.87,45.08,97.31,118.06662,80.78778839111328,157.75
2024-10-22 18:00:00+00:00,128.44,34.35,76.26,139.3891,80.97371673583984,114.02
2024-10-22 19:00:00+00:00,102.0,20.95,66.65,96.10421,81.16533660888672,99.4
2024-10-22 20:00:00+00:00,97.8,12.15,59.65,84.936516,81.35270690917969,95.72
2024-10-22 21:00:00+00:00,92.97,1.93,40.78,83.11528,81.5644760131836,88.35
2024-10-22 22:00:00+00:00,91.67,-0.1,23.35,77.890495,81.84500885009766,80.83
2024-10-22 23:00:00+00:00,89.43,-0.1,12.8,71.85536,82.14788818359375,83.23
2024-10-23 00:00:00+00:00,85.69,-0.14,5.3,69.47179,82.47682189941406,82.02
2024-10-23 01:00:00+00:00,83.6,-0.08,3.61,68.83697,82.7674331665039,83.21
2024-10-23 02:00:00+00:00,83.19,-0.04,3.16,69.199066,82.99463653564453,85.8
2024-10-23 03:00:00+00:00,89.95,3.45,8.2,78.86288,83.14021301269531,93.6
2024-10-23 04:00:00+00:00,100.58,66.6,42.59,86.78444,83.19844818115234,108.19
2024-10-23 05:00:00+00:00,156.09,104.98,67.29,130.03955,83.1669692993164,172.79
2024-10-23 06:00:00+00:00,170.12,120.39,66.52,124.208786,83.06918334960938,183.13
2024-10-23 07:00:00+00:00,113.44,103.9,54.29,94.00543,82.93106079101562,128.42
2024-10-23 08:00:00+00:00,99.22,89.04,26.68,78.17512,82.74930572509766,104.1
2024-10-23 09:00:00+00:00,87.75,81.03,14.16,64.70108,82.53789520263672,93.86
2024-10-23 10:00:00+00:00,77.11,73.19,4.09,62.61618,82.24409484863281,85.62
2024-10-23 11:00:00+00:00,70.88,81.36,2.04,63.01733,81.88851928710938,80.99
2024-10-23 12:00:00+00:00,73.53,81.65,4.0,62.92649,81.49466705322266,78.97
2024-10-23 13:00:00+00:00,87.08,98.59,14.18,54.165005,81.1351318359375,88.62
2024-10-23 14:00:00+00:00,107.45,123.5,54.92,86.20575,80.8286361694336,101.9
2024-10-23 15:00:00+00:00,109.97,131.54,72.95,107.6773,80.57439422607422,147.15
2024-10-23 16:00:00+00:00,140.36,222.11,84.47,157.78448,80.38520812988281,218.18
2024-10-23 17:00:00+00:00,157.75,190.87,88.38,143.88043,80.28309631347656,177.6
2024-10-23 18:00:00+00:00,114.02,128.44,65.31,124.91308,80.22806549072266,111.71
2024-10-23 19:00:00+00:00,99.4,102.0,61.86,98.41624,80.22797393798828,101.51
2024-10-23 20:00:00+00:00,95.72,97.8,35.14,86.43171,80.19441223144531,103.33
2024-10-23 21:00:00+00:00,88.35,92.97,26.54,84.062004,80.1430892944336,93.16
2024-10-23 22:00:00+00:00,80.83,91.67,17.04,81.0642,80.0716552734375,91.75
2024-10-23 23:00:00+00:00,83.23,89.43,12.15,78.33815,80.07685089111328,82.42
2024-10-24 00:00:00+00:00,82.02,85.69,10.48,74.04081,80.10969543457031,80.67
2024-10-24 01:00:00+00:00,83.21,83.6,5.61,73.67871,80.06651306152344,80.29
2024-10-24 02:00:00+00:00,85.8,83.19,10.01,75.710785,79.9078369140625,80.45
2024-10-24 03:00:00+00:00,93.6,89.95,29.8,79.87119,79.61583709716797,83.82
2024-10-24 04:00:00+00:00,108.19,100.58,70.51,85.97314,79.19857788085938,103.21
2024-10-24 05:00:00+00:00,172.79,156.09,101.39,100.1457,78.66256713867188,148.29
2024-10-24 06:00:00+00:00,183.13,170.12,92.53,102.22594,78.0333023071289,171.27
2024-10-24 07:00:00+00:00,128.42,113.44,73.76,92.1249,77.35037231445312,117.3
2024-10-24 08:00:00+00:00,104.1,99.22,62.22,70.71983,76.59705352783203,101.91
2024-10-24 09:00:00+00:00,93.86,87.75,52.02,63.381767,75.80951690673828,93.05
2024-10-24 10:00:00+00:00,85.62,77.11,46.54,55.41592,74.97222900390625,83.96
2024-10-24 11:00:00+00:00,80.99,70.88,47.52,47.666992,74.21952819824219,79.15
2024-10-24 12:00:00+00:00,78.97,73.53,60.04,45.60175,73.62511444091797,81.51
2024-10-24 13:00:00+00:00,88.62,87.08,63.55,56.4736,73.13880157470703,95.7
2024-10-24 14:00:00+00:00,101.9,107.45,92.68,76.85027,72.75984191894531,116.17
2024-10-24 15:00:00+00:00,147.15,109.97,123.6,99.51071,72.47637939453125,129.9
2024-10-24 16:00:00+00:00,218.18,140.36,186.21,110.73215,72.26522827148438,141.53
2024-10-24 17:00:00+00:00,177.6,157.75,172.19,121.0249,72.08526611328125,114.19
2024-10-24 18:00:00+00:00,111.71,114.02,117.5,119.8011,71.92357635498047,96.61
2024-10-24 19:00:00+00:00,101.51,99.4,97.81,95.05177,71.81270599365234,93.64
2024-10-24 20:00:00+00:00,103.33,95.72,89.05,83.134125,71.75432586669922,89.9
2024-10-24 21:00:00+00:00,93.16,88.35,82.21,78.74143,71.7545166015625,83.61
2024-10-24 22:00:00+00:00,91.75,80.83,80.95,77.64229,71.81157684326172,82.5
2024-10-24 23:00:00+00:00,82.42,83.23,81.16,77.12213,71.91618347167969,82.07
2024-10-25 00:00:00+00:00,80.67,82.02,82.73,74.910416,72.07186126708984,79.69
2024-10-25 01:00:00+00:00,80.29,83.21,78.84,74.910416,72.16158294677734,82.6
2024-10-25 02:00:00+00:00,80.45,85.8,81.19,74.910416,72.1435317993164,84.47
2024-10-25 03:00:00+00:00,83.82,93.6,84.34,71.998474,72.0052719116211,94.59
2024-10-25 04:00:00+00:00,103.21,108.19,98.89,81.24765,71.75458526611328,108.94
2024-10-25 05:00:00+00:00,148.29,172.79,149.78,96.60387,71.40042877197266,123.75
2024-10-25 06:00:00+00:00,171.27,183.13,156.24,93.243935,70.95288848876953,150.59
2024-10-25 07:00:00+00:00,117.3,128.42,111.0,81.44559,70.44270324707031,122.43
2024-10-25 08:00:00+00:00,101.91,104.1,95.76,62.590275,69.88963317871094,108.15
2024-10-25 09:00:00+00:00,93.05,93.86,85.3,58.54397,69.32554626464844,93.9
2024-10-25 10:00:00+00:00,83.96,85.62,82.96,43.67313,68.77195739746094,81.08
2024-10-25 11:00:00+00:00,79.15,80.99,80.2,34.716824,68.25237274169922,78.18
2024-10-25 12:00:00+00:00,81.51,78.97,81.19,27.410553,67.79447937011719,82.47
2024-10-25 13:00:00+00:00,95.7,88.62,84.34,38.86259,67.43720245361328,99.33
2024-10-25 14:00:00+00:00,116.17,101.9,103.29,70.62202,67.22630310058594,118.03
2024-10-25 15:00:00+00:00,129.9,147.15,133.67,114.86795,67.13838195800781,158.73
2024-10-25 16:00:00+00:00,141.53,218.18,181.28,129.94878,67.17849731445312,227.32
2024-10-25 17:00:00+00:00,114.19,177.6,142.58,134.21532,67.24803924560547,184.85
2024-10-25 18:00:00+00:00,96.61,111.71,103.25,107.41581,67.314208984375,123.86
2024-10-25 19:00:00+00:00,93.64,101.51,96.83,93.82377,67.31725311279297,116.29
